date,league,season,home_team,away_team,full_time_home_goals,full_time_away_goals,half_time_home_goals,half_time_away_goals,full_time_result,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home_win,odds_draw,odds_away_win
2016-08-21,serie_a,2016-2017,Pescara,Napoli,2,2,2.0,0.0,D,H,9.0,22.0,3.0,4.0,10.0,12.0,3.0,9.0,3.0,2.0,0.0,0.0,7.5,4.5,1.44
2016-08-21,liga,2016-2017,Sociedad,Real Madrid,0,3,0.0,2.0,A,A,8.0,18.0,0.0,8.0,22.0,11.0,4.0,7.0,2.0,3.0,0.0,0.0,4.75,3.8,1.75
2016-08-21,serie_a,2016-2017,Bologna,Crotone,1,0,0.0,0.0,H,D,20.0,5.0,6.0,0.0,7.0,17.0,5.0,3.0,1.0,1.0,0.0,0.0,1.85,3.5,5.0
2016-08-21,liga,2016-2017,Sp Gijon,Ath Bilbao,2,1,0.0,0.0,H,D,12.0,13.0,4.0,4.0,18.0,15.0,2.0,5.0,3.0,3.0,0.0,0.0,4.0,3.5,1.95
2016-08-21,ligue_1,2016-2017,Paris SG,Metz,3,0,0.0,0.0,H,D,29.0,11.0,8.0,6.0,10.0,6.0,15.0,2.0,1.0,1.0,0.0,0.0,1.13,8.0,26.0
2016-08-21,ligue_1,2016-2017,St Etienne,Montpellier,3,1,0.0,1.0,H,A,14.0,13.0,5.0,3.0,9.0,12.0,4.0,6.0,1.0,1.0,0.0,0.0,2.05,3.25,3.75
2016-08-21,premier_league,2016-2017,West Ham,Bournemouth,1,0,0.0,0.0,H,D,15.0,8.0,2.0,5.0,15.0,15.0,1.0,6.0,3.0,1.0,0.0,1.0,1.95,3.75,4.0
2016-08-21,premier_league,2016-2017,Sunderland,Middlesbrough,1,2,0.0,2.0,A,A,18.0,8.0,5.0,3.0,11.0,14.0,8.0,1.0,1.0,1.0,0.0,0.0,2.55,3.2,3.1
2016-08-21,liga,2016-2017,Ath Madrid,Alaves,1,1,0.0,0.0,D,D,27.0,2.0,6.0,1.0,7.0,15.0,20.0,2.0,0.0,4.0,0.0,0.0,1.2,6.5,17.0
2016-08-21,serie_a,2016-2017,Atalanta,Lazio,3,4,0.0,3.0,A,A,19.0,11.0,6.0,6.0,5.0,16.0,7.0,2.0,2.0,2.0,0.0,0.0,3.1,3.25,2.4
2016-08-22,liga,2016-2017,Celta,Leganes,0,1,0.0,0.0,A,D,10.0,15.0,2.0,6.0,5.0,13.0,8.0,4.0,4.0,1.0,0.0,1.0,1.65,3.75,5.75
2016-08-22,liga,2016-2017,Valencia,Las Palmas,2,4,2.0,3.0,A,A,17.0,6.0,8.0,4.0,15.0,18.0,12.0,1.0,2.0,2.0,0.0,0.0,1.73,3.75,5.0
2016-08-26,ligue_1,2016-2017,Marseille,Lorient,2,0,1.0,0.0,H,H,13.0,10.0,8.0,5.0,15.0,11.0,3.0,4.0,1.0,1.0,0.0,0.0,1.75,3.6,5.0
2016-08-26,liga,2016-2017,Betis,La Coruna,0,0,0.0,0.0,D,D,15.0,12.0,5.0,1.0,20.0,15.0,13.0,2.0,0.0,2.0,0.0,0.0,2.2,3.2,3.5
2016-08-26,bundesliga,2016-2017,Bayern Munich,Werder Bremen,6,0,2.0,0.0,H,H,27.0,4.0,14.0,2.0,7.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,1.1,10.0,23.0
2016-08-26,liga,2016-2017,Espanol,Malaga,2,2,1.0,0.0,D,H,7.0,9.0,2.0,3.0,20.0,17.0,3.0,4.0,2.0,4.0,0.0,0.0,2.3,3.1,3.4
2016-08-27,liga,2016-2017,Leganes,Ath Madrid,0,0,0.0,0.0,D,D,6.0,10.0,1.0,3.0,19.0,5.0,1.0,8.0,3.0,1.0,0.0,0.0,8.5,3.6,1.53
2016-08-27,liga,2016-2017,Osasuna,Sociedad,0,2,0.0,1.0,A,A,8.0,5.0,3.0,4.0,14.0,14.0,10.0,1.0,2.0,1.0,0.0,0.0,3.1,3.1,2.5
2016-08-27,liga,2016-2017,Real Madrid,Celta,2,1,0.0,0.0,H,D,24.0,8.0,10.0,3.0,8.0,11.0,7.0,2.0,0.0,2.0,0.0,0.0,1.18,7.0,17.0
2016-08-27,bundesliga,2016-2017,M'gladbach,Leverkusen,2,1,1.0,0.0,H,H,14.0,12.0,9.0,6.0,11.0,16.0,7.0,3.0,3.0,3.0,0.0,0.0,2.3,3.4,3.1
2016-08-27,premier_league,2016-2017,Chelsea,Burnley,3,0,2.0,0.0,H,H,22.0,6.0,10.0,0.0,6.0,9.0,9.0,5.0,2.0,2.0,0.0,0.0,1.25,5.5,15.0
2016-08-27,premier_league,2016-2017,Crystal Palace,Bournemouth,1,1,0.0,1.0,D,A,24.0,10.0,5.0,3.0,15.0,10.0,10.0,4.0,2.0,1.0,0.0,0.0,2.3,3.2,3.3
2016-08-27,premier_league,2016-2017,Everton,Stoke,1,0,0.0,0.0,H,D,21.0,8.0,9.0,1.0,14.0,11.0,9.0,2.0,2.0,1.0,0.0,0.0,1.73,3.6,5.25
2016-08-27,premier_league,2016-2017,Hull,Man United,0,1,0.0,0.0,A,D,8.0,29.0,2.0,9.0,9.0,6.0,1.0,6.0,2.0,3.0,0.0,0.0,8.0,4.1,1.44
2016-08-27,premier_league,2016-2017,Leicester,Swansea,2,1,1.0,0.0,H,H,13.0,9.0,6.0,3.0,14.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0,1.73,3.6,5.25
2016-08-27,premier_league,2016-2017,Southampton,Sunderland,1,1,0.0,0.0,D,D,16.0,5.0,7.0,2.0,15.0,8.0,5.0,5.0,2.0,2.0,0.0,0.0,1.57,3.6,6.5
2016-08-27,premier_league,2016-2017,Tottenham,Liverpool,1,1,0.0,1.0,D,A,11.0,13.0,4.0,3.0,11.0,17.0,5.0,5.0,3.0,5.0,0.0,0.0,2.38,3.4,3.0
2016-08-27,ligue_1,2016-2017,Nice,Lille,1,1,1.0,1.0,D,D,13.0,8.0,6.0,3.0,13.0,13.0,4.0,6.0,2.0,2.0,0.0,0.0,2.5,3.0,3.0
2016-08-27,ligue_1,2016-2017,Nancy,Guingamp,0,2,0.0,0.0,A,D,19.0,14.0,3.0,6.0,9.0,10.0,5.0,3.0,2.0,1.0,0.0,0.0,2.15,3.25,3.6
2016-08-27,ligue_1,2016-2017,Montpellier,Rennes,1,1,1.0,0.0,D,H,11.0,12.0,5.0,2.0,13.0,16.0,4.0,4.0,1.0,2.0,0.0,0.0,2.38,3.1,3.2
2016-08-27,ligue_1,2016-2017,Dijon,Lyon,4,2,2.0,2.0,H,D,8.0,25.0,5.0,9.0,11.0,9.0,2.0,10.0,2.0,2.0,0.0,0.0,4.33,3.6,1.83
2016-08-27,ligue_1,2016-2017,Caen,Bastia,2,0,0.0,0.0,H,D,17.0,5.0,4.0,1.0,15.0,20.0,5.0,2.0,1.0,5.0,0.0,0.0,2.1,3.25,3.8
2016-08-27,bundesliga,2016-2017,Hamburg,Ingolstadt,1,1,1.0,0.0,D,H,8.0,13.0,1.0,5.0,17.0,15.0,4.0,5.0,2.0,2.0,0.0,0.0,2.2,3.2,3.5
2016-08-27,bundesliga,2016-2017,FC Koln,Darmstadt,2,0,1.0,0.0,H,H,21.0,12.0,8.0,3.0,11.0,15.0,6.0,5.0,3.0,3.0,0.0,0.0,1.8,3.5,4.75
2016-08-27,bundesliga,2016-2017,Ein Frankfurt,Schalke 04,1,0,1.0,0.0,H,H,11.0,11.0,4.0,3.0,11.0,15.0,7.0,5.0,2.0,2.0,1.0,0.0,3.4,3.3,2.2
2016-08-27,bundesliga,2016-2017,Dortmund,Mainz,2,1,1.0,0.0,H,H,17.0,12.0,8.0,4.0,3.0,20.0,7.0,2.0,0.0,3.0,0.0,0.0,1.36,5.0,8.5
2016-08-27,bundesliga,2016-2017,Augsburg,Wolfsburg,0,2,0.0,1.0,A,A,13.0,12.0,2.0,6.0,15.0,17.0,2.0,3.0,1.0,2.0,0.0,0.0,2.8,3.25,2.6
2016-08-27,premier_league,2016-2017,Watford,Arsenal,1,3,0.0,3.0,A,A,14.0,10.0,6.0,7.0,18.0,15.0,3.0,2.0,6.0,1.0,0.0,0.0,5.0,3.75,1.73
2016-08-27,liga,2016-2017,Eibar,Valencia,1,0,0.0,0.0,H,D,13.0,13.0,6.0,3.0,13.0,11.0,6.0,10.0,2.0,2.0,0.0,0.0,2.7,3.2,2.75
2016-08-27,ligue_1,2016-2017,Metz,Angers,2,0,1.0,0.0,H,H,7.0,23.0,2.0,7.0,9.0,11.0,5.0,9.0,2.0,2.0,0.0,0.0,2.5,3.0,3.2
2016-08-27,serie_a,2016-2017,Napoli,Milan,4,2,2.0,0.0,H,H,17.0,12.0,8.0,3.0,13.0,15.0,9.0,4.0,5.0,4.0,0.0,2.0,1.67,4.0,5.0
2016-08-27,serie_a,2016-2017,Lazio,Juventus,0,1,0.0,0.0,A,D,6.0,13.0,1.0,5.0,16.0,5.0,4.0,2.0,1.0,2.0,0.0,0.0,4.75,3.5,1.8
2016-08-28,liga,2016-2017,Las Palmas,Granada,5,1,1.0,1.0,H,D,15.0,13.0,10.0,2.0,8.0,16.0,6.0,4.0,5.0,1.0,0.0,0.0,1.91,3.4,4.33
2016-08-28,liga,2016-2017,Alaves,Sp Gijon,0,0,0.0,0.0,D,D,13.0,7.0,2.0,1.0,10.0,12.0,4.0,6.0,1.0,1.0,0.0,0.0,2.15,3.2,3.75
2016-08-28,serie_a,2016-2017,Torino,Bologna,5,1,2.0,1.0,H,H,20.0,10.0,11.0,2.0,14.0,12.0,6.0,3.0,1.0,2.0,0.0,0.0,1.85,3.5,4.5
2016-08-28,serie_a,2016-2017,Udinese,Empoli,2,0,1.0,0.0,H,H,11.0,13.0,3.0,4.0,15.0,19.0,4.0,5.0,3.0,3.0,0.0,1.0,2.05,3.4,3.75
2016-08-28,serie_a,2016-2017,Fiorentina,Chievo,1,0,1.0,0.0,H,H,13.0,9.0,3.0,2.0,8.0,16.0,4.0,4.0,0.0,2.0,0.0,0.0,1.67,3.75,5.5
2016-08-28,serie_a,2016-2017,Inter,Palermo,1,1,0.0,0.0,D,D,22.0,7.0,5.0,3.0,16.0,24.0,8.0,4.0,1.0,5.0,0.0,0.0,1.33,4.75,10.0
2016-08-28,liga,2016-2017,Villarreal,Sevilla,0,0,0.0,0.0,D,D,12.0,6.0,5.0,0.0,16.0,12.0,5.0,1.0,1.0,3.0,0.0,0.0,2.5,3.4,2.8
2016-08-28,premier_league,2016-2017,West Brom,Middlesbrough,0,0,0.0,0.0,D,D,13.0,7.0,2.0,2.0,12.0,11.0,5.0,4.0,1.0,3.0,0.0,0.0,2.6,3.1,2.9
2016-08-28,premier_league,2016-2017,Man City,West Ham,3,1,2.0,0.0,H,H,22.0,9.0,5.0,2.0,5.0,10.0,5.0,4.0,1.0,3.0,0.0,0.0,1.25,6.0,11.0
2016-08-28,serie_a,2016-2017,Crotone,Genoa,1,3,1.0,0.0,A,H,11.0,18.0,3.0,8.0,16.0,17.0,1.0,6.0,2.0,2.0,0.0,0.0,4.0,3.4,1.91
2016-08-28,serie_a,2016-2017,Cagliari,Roma,2,2,0.0,1.0,D,A,17.0,21.0,5.0,7.0,21.0,9.0,4.0,3.0,3.0,1.0,0.0,0.0,4.75,3.75,1.7
2016-08-28,serie_a,2016-2017,Sampdoria,Atalanta,2,1,2.0,1.0,H,H,8.0,7.0,4.0,1.0,13.0,16.0,3.0,1.0,1.0,4.0,0.0,1.0,2.25,3.2,3.4
2016-08-28,bundesliga,2016-2017,Hertha,Freiburg,2,1,0.0,0.0,H,D,15.0,8.0,5.0,2.0,10.0,10.0,5.0,2.0,0.0,3.0,0.0,0.0,2.15,3.3,3.5
2016-08-28,liga,2016-2017,Ath Bilbao,Barcelona,0,1,0.0,1.0,A,A,9.0,12.0,4.0,3.0,20.0,13.0,4.0,4.0,5.0,4.0,0.0,0.0,6.5,4.33,1.5
2016-08-28,bundesliga,2016-2017,Hoffenheim,RB Leipzig,2,2,0.0,0.0,D,D,11.0,23.0,5.0,9.0,12.0,14.0,2.0,9.0,2.0,4.0,0.0,0.0,2.5,3.25,2.9
2016-08-28,ligue_1,2016-2017,St Etienne,Toulouse,0,0,0.0,0.0,D,D,16.0,9.0,3.0,2.0,9.0,16.0,7.0,4.0,2.0,1.0,0.0,0.0,2.15,3.25,3.6
2016-08-28,ligue_1,2016-2017,Monaco,Paris SG,3,1,2.0,0.0,H,H,9.0,6.0,2.0,2.0,9.0,10.0,2.0,7.0,1.0,2.0,0.0,0.0,4.75,3.5,1.8
2016-08-28,serie_a,2016-2017,Sassuolo,Pescara,0,3,,,A,,13.0,15.0,3.0,5.0,12.0,21.0,2.0,7.0,2.0,2.0,0.0,0.0,1.62,3.75,6.0
2016-08-28,ligue_1,2016-2017,Bordeaux,Nantes,1,0,1.0,0.0,H,H,9.0,16.0,7.0,6.0,16.0,16.0,4.0,8.0,2.0,1.0,0.0,0.0,2.05,3.1,4.2
2016-09-09,bundesliga,2016-2017,Schalke 04,Bayern Munich,0,2,0.0,0.0,A,D,9.0,18.0,2.0,2.0,13.0,12.0,2.0,7.0,2.0,4.0,0.0,0.0,10.0,5.5,1.3
2016-09-09,ligue_1,2016-2017,Paris SG,St Etienne,1,1,0.0,0.0,D,D,15.0,5.0,4.0,2.0,11.0,13.0,4.0,1.0,2.0,4.0,0.0,0.0,1.33,5.25,9.5
2016-09-09,liga,2016-2017,Sociedad,Espanol,1,1,0.0,0.0,D,D,9.0,4.0,3.0,1.0,10.0,10.0,11.0,1.0,2.0,2.0,0.0,1.0,2.05,3.4,3.75
2016-09-10,bundesliga,2016-2017,Ingolstadt,Hertha,0,2,0.0,1.0,A,A,12.0,7.0,5.0,6.0,13.0,20.0,6.0,1.0,3.0,1.0,0.0,0.0,2.4,3.1,3.2
2016-09-10,bundesliga,2016-2017,Freiburg,M'gladbach,3,1,0.0,1.0,H,A,17.0,5.0,7.0,2.0,17.0,11.0,3.0,4.0,2.0,2.0,0.0,0.0,3.6,3.6,2.0
2016-09-10,bundesliga,2016-2017,Darmstadt,Ein Frankfurt,1,0,0.0,0.0,H,D,8.0,14.0,1.0,3.0,16.0,13.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0,3.3,2.4
2016-09-10,ligue_1,2016-2017,Angers,Dijon,3,1,1.0,1.0,H,D,13.0,7.0,7.0,2.0,13.0,9.0,6.0,1.0,1.0,2.0,1.0,1.0,2.25,3.1,3.5
2016-09-10,premier_league,2016-2017,Man United,Man City,1,2,1.0,2.0,A,A,14.0,18.0,3.0,6.0,15.0,10.0,4.0,4.0,4.0,2.0,0.0,0.0,2.38,3.25,3.4
2016-09-10,ligue_1,2016-2017,Bastia,Toulouse,2,1,1.0,0.0,H,H,5.0,8.0,4.0,3.0,15.0,21.0,5.0,1.0,4.0,4.0,0.0,0.0,2.75,3.0,2.75
